[[0, 0, 3], [1, 0], 0]
[[0, 0, 5], [1, 1, 0], 0]
[[0, 0, 6], [0, 1, 0], 0]
[[0, 1, 6], [1, 1, 0], 1]
[[1, 0, 6], [1, 1, 0], 1]
[[5, 5, 6], [0, 1, 0], 4]
[[0, 0, 7], [1, 0, 0], 0]
[[0, 1, 7], [0, 1, 0], 1]
[[0, 2, 7], [1, 1, 0], 2]
[[1, 0, 7], [0, 1, 0], 1]
[[1, 1, 7], [1, 1, 0], 2]
[[2, 0, 7], [1, 1, 0], 2]
[[5, 6, 7], [1, 1, 0], 4]
[[6, 5, 7], [1, 1, 0], 4]
[[6, 6, 7], [0, 0, 1], 5]
[[0, 0, 9], [1, 1, 1, 0], 0]
[[0, 0, 10], [0, 1, 1, 0], 0]
[[0, 1, 10], [1, 1, 1, 0], 1]
[[1, 0, 10], [1, 1, 1, 0], 1]
[[9, 9, 10], [0, 1, 0, 0], 8]
[[0, 0, 11], [1, 0, 1, 0], 0]
[[0, 1, 11], [0, 1, 1, 0], 1]
[[0, 2, 11], [1, 1, 1, 0], 2]
[[1, 0, 11], [0, 1, 1, 0], 1]
[[1, 1, 11], [1, 1, 1, 0], 2]
[[2, 0, 11], [1, 1, 1, 0], 2]
[[9, 10, 11], [1, 1, 0, 0], 8]
[[10, 9, 11], [1, 1, 0, 0], 8]
[[10, 10, 11], [0, 0, 1, 0], 9]
[[0, 0, 12], [0, 0, 1, 0], 0]
[[0, 1, 12], [1, 0, 1, 0], 1]
[[0, 2, 12], [0, 1, 1, 0], 2]
[[0, 3, 12], [1, 1, 1, 0], 3]
[[1, 0, 12], [1, 0, 1, 0], 1]
[[1, 1, 12], [0, 1, 1, 0], 2]
[[1, 2, 12], [1, 1, 1, 0], 3]
[[2, 0, 12], [0, 1, 1, 0], 2]
[[2, 1, 12], [1, 1, 1, 0], 3]
[[3, 0, 12], [1, 1, 1, 0], 3]
[[9, 11, 12], [0, 0, 1, 0], 8]
[[10, 10, 12], [0, 0, 1, 0], 8]
[[10, 11, 12], [1, 0, 1, 0], 9]
[[11, 9, 12], [0, 0, 1, 0], 8]
[[11, 10, 12], [1, 0, 1, 0], 9]
[[11, 11, 12], [0, 1, 1, 0], 10]
[[0, 0, 13], [1, 1, 0, 0], 0]
[[0, 1, 13], [0, 0, 1, 0], 1]
[[0, 2, 13], [1, 0, 1, 0], 2]
[[0, 3, 13], [0, 1, 1, 0], 3]
[[0, 4, 13], [1, 1, 1, 0], 4]
[[1, 0, 13], [0, 0, 1, 0], 1]
[[1, 1, 13], [1, 0, 1, 0], 2]
[[1, 2, 13], [0, 1, 1, 0], 3]
[[1, 3, 13], [1, 1, 1, 0], 4]
[[2, 0, 13], [1, 0, 1, 0], 2]
[[2, 1, 13], [0, 1, 1, 0], 3]
[[2, 2, 13], [1, 1, 1, 0], 4]
[[3, 0, 13], [0, 1, 1, 0], 3]
[[3, 1, 13], [1, 1, 1, 0], 4]
[[4, 0, 13], [1, 1, 1, 0], 4]
